Hora,nome_piloto,id_volta,tempo_volta,velocidade_media
23:49:08.277,38 F.MASSA,1,00:01:02.852,44.275
23:49:10.858,33 R.BARRICHELLO ,1,00:01:04.352,43.243
23:49:11.075,2 K.RAIKKONEN ,1,00:01:04.108,43.408
23:49:12.667,23 M.WEBBER ,1,00:01:04.414,43.202
23:49:30.976,15 F.ALONSO ,1,00:01:18.456,35.47
23:50:11.447,38 F.MASSA,2,00:01:03.170,44.053
23:50:14.860,33 R.BARRICHELLO ,2,00:01:04.002,43.48
23:50:15.057,2 K.RAIKKONEN ,2,00:01:03.982,43.493
23:50:17.472,23 M.WEBBER ,2,00:01:04.805,42.941
23:50:37.987,15 F.ALONSO ,2,00:01:07.011,41.528
23:51:14.216,38 F.MASSA,3,00:01:02.769,44.334
23:51:18.576,33 R.BARRICHELLO ,3,00:01:03.716,43.675
23:51:19.044,2 K.RAIKKONEN ,3,00:01:03.987,43.49
23:51:21.759,23 M.WEBBER ,3,00:01:04.287,43.287
23:51:46.691,15 F.ALONSO ,3,00:01:08.704,40.504
23:52:01.796,11 S.VETTEL,1,00:03:31.315,13.169
23:52:17.003,38 F.MASSA,4,00:01:02.787,44.321
23:52:22.586,33 R.BARRICHELLO ,4,00:01:04.010,43.474
23:52:22.120,2 K.RAIKKONEN ,4,00:01:03.076,44.118
23:52:25.975,23 M.WEBBER ,4,00:01:04.216,43.335
23:53:06.741,15 F.ALONSO ,4,00:01:20.050,34.763
23:53:39.660,11 S.VETTEL,2,00:01:37.864,28.435
23:54:57.757,11 S.VETTEL,3,00:01:18.097,35.633
